7513,15,92
7514,12,153
7516,2,159
7516,12,162
7516,15,1105
7517,2,402
7517,12,404
7517,15,775
7517,18,1705
7519,1,506
7519,2,507
7519,6,508
7519,12,509
7519,15,757
7520,1,340
7520,2,1186
7520,4,529
7520,5,341
7520,8,896
7520,9,1189
7520,12,342
7520,15,1190
7520,18,1687
7521,2,503
7521,6,504
7521,12,505
7521,15,756
7522,1,308
7522,3,623
7522,4,622
7522,5,306
7522,15,1223
7522,18,1669
7523,12,222
7523,18,1672
7524,2,163
7524,12,165
7525,1,499
7525,2,500
7525,6,501
7525,12,502
7525,15,751
7526,2,496
7526,6,497
7526,12,498
7526,15,746
7527,1,525
7527,2,526
7527,12,528
7528,2,493
7528,6,494
7528,12,495
7528,15,743
7529,1,318
7529,2,1211
7529,12,320
7529,15,1212
7530,1,337
7530,2,1183
7530,8,895
7530,12,339
7530,15,1185
7530,18,1686
7531,1,358
7531,2,359
7531,8,894
7531,12,360
7531,18,1685
7532,2,1181
7532,6,1182
7532,15,1192
7533,1,311
7533,2,1209
7533,12,309
7533,15,1210
7533,18,1668
7534,2,490
7534,6,491
7534,12,492
7534,15,742
7535,2,487
7535,6,488
7535,12,489
7535,15,737
7536,2,484
7536,6,485
7536,12,486
7536,15,736
7537,5,1218
7537,12,383
7537,15,774
7538,1,395
7538,2,396
7538,12,1219
7538,15,773
7538,18,1704
7539,2,444
7539,12,446
7539,15,772
7539,18,1703
7540,1,334
7540,2,1175
7540,8,892
7540,12,336
7540,18,1684
7541,2,1221
7541,12,422
7541,14,423
7541,15,771
7541,18,1702
7542,2,481
7542,6,482
7542,12,483
7542,15,733
7543,2,1238
7543,12,298
7543,15,1237
7543,18,1667
7544,1,352
7544,2,1172
7544,8,891
7544,12,354
7544,15,1174
7544,18,1683
7545,12,382
7545,15,770
7546,2,1217
7546,12,420
7546,15,769
7547,1,349
7547,2,1170
7547,8,889
7547,12,351
7547,18,1682
7548,1,325
7548,2,1168
7548,8,888
7548,12,324
7548,15,1169
7548,18,1681
7549,2,1113
7549,8,1115
7549,9,1116
7549,12,1117
7549,15,1118
7549,18,1659
7550,2,1119
7550,12,418
7550,15,768
7551,1,315
7551,2,510
7551,4,511
7551,12,317
7551,15,512
7551,18,1666
7552,2,516
7552,12,518
7552,18,1691
7553,1,480
7553,2,477
7553,6,478
7553,7,1226
7553,12,479
7553,15,732
7554,2,399
7554,8,1216
7554,12,401
7554,15,767
7554,18,1701
7555,2,473
7555,6,474
7555,12,475
7555,15,476
7556,2,69
7556,3,70
7556,4,71
7556,8,73
7556,9,74
7556,12,68
7556,15,766
7556,18,1700
7557,1,302
7557,3,619
7557,4,620
7557,5,300
7557,9,303
7557,15,304
7557,18,1665
7559,2,1227
7559,6,1228
7559,12,472
7559,15,721
7560,2,469
7560,6,470
7560,12,471
7560,15,716
7561,1,1164
7561,2,1204
7561,3,1162
7561,4,1207
7561,5,1163
7561,15,1206
7561,18,1664
7562,1,1224
7562,2,465
7562,6,466
7562,12,468
7562,15,713
7563,1,312
7563,2,1201
7563,4,1202
7563,12,314
7563,15,1203
7564,1,461
7564,2,462
7564,4,612
7564,6,463
7564,12,464
7564,15,710
7565,1,378
7565,2,1102
7565,15,765
7565,18,1699
7566,12,1225
7567,2,412
7567,5,413
7567,12,416
7567,15,764
7567,18,1712
7568,5,424
7568,6,430
7568,7,2336
7568,12,425
7568,14,431
7568,15,763
7568,18,2337
7569,1,1177
7569,2,1178
7569,4,1179
7569,12,1194
7569,15,1195
7570,2,1196
7570,8,1199
7570,12,296
7570,15,1200
7570,18,1663
7571,2,176
7571,8,173
7571,15,1208
7571,18,1662
7572,2,513
7572,12,515
7572,18,1690
7573,2,458
7573,6,459
7573,12,460
7573,15,705
7574,2,184
7574,12,186
7574,15,1106
7575,2,407
7575,3,1123
7575,4,1124
7575,5,408
7575,8,1125
7575,12,411
7575,15,762
7575,18,1698
7576,1,1120
7576,2,1121
7576,12,406
7576,15,761
7576,18,1697
7577,2,1108
7577,9,1112
7577,12,1107
7577,15,1111
7577,18,1658
7578,1,454
7578,2,455
7578,12,457
7578,15,702
7578,18,1711
7579,1,380
7579,2,1097
7579,15,760
7579,18,1696
7580,12,1094
7581,1,346
7581,2,1086
7581,3,1089
7581,4,1090
7581,5,1091
7581,8,887
7581,12,348
7581,15,1088
7582,1,369
7582,2,1083
7582,8,886
7582,12,368
7582,15,1087
7582,18,1680
7583,2,1098
7583,5,1099
7583,12,1100
7583,15,1101
7584,2,262
7584,8,1081
7584,9,1082
7584,12,264
7584,15,759
7584,18,1695
7585,1,1075
7585,2,143
7585,4,144
