39	"Cameron, P."	1907	"Cameron, P. 1907. No. IV. Hymenoptera. (The Percy Sladen Trust Expedition to the Indian Ocean in 1905) Transactions of the Linnaean Society of London, Zoology 12:69-86"	"Cameron 1907"
40	"Cameron, P."	1910	"Cameron, P. 1910. On some Asiatic species of subfamilies Braconinae and Exothecinae in the Royal Berlin Museum Societas Entomologica 25:11-12, 14-16, 19-20, 22-23, 25-26"	"Cameron 1910"
41	"Cameron, P."	1911	"Cameron, P. 1911a. On the Hymenoptera of the Georgetown Museum, British Guiana Timehri 1:152-186, 396-330"	"Cameron 1911a"
42	"Cameron, P."	1911	"Cameron, P. 1911b. On a collection of parasitic Hymenoptera (chiefly bred), made by W. W. Froggat, F.L.S., in New South Wales, with descriptions of new genera and species Proceedings of the Linnean Society of New South Wales 34:333-346"	"Cameron 1911b"
43	"Cameron, A. E."	1914	"Cameron, A. E. 1914. A contribution to a knowledge of the belladonna leaf-miner Pegomyia hyoscyami, Panz., its life history and biology Annals of Applied Biology 1:43-76"	"Cameron 1914"
44	"Cameron, E."	1941	"Cameron, E. 1941. The biology and post-embryonic development of Opius ilicis n. sp., a parasite of the holly leaf-miner (Phytomyza ilicis Curt.) Parasitology 33:151-169"	"Cameron 1941"
45	"Canovas, C."	1940	"Canovas, C. 1940. La lucha biologica contra Ceratitis capitata Wied., y orientaciones para su aplicacion en Espana Boletin de Patologia Vegetal y Entomologia Agricola 9:72-106"	"Canovas 1940"
46	"Carter, W."	1952	"Carter, W. 1952. Recent developments in Oriental fruit fly research Journal of Economic Entomology 45:274-279"	"Carter 1952"
47	"Clancy, D. W.; Marucci, P. E.; Dresner, E."	1952	"Clancy, D. W.; Marucci, P. E.; Dresner, E. 1952. Importation of natural enemies to control the Oriental fruit fly in Hawaii Journal of Economic Entomology 45:85-90"	"Clancy et al. 1952"
48	"Clancy, D. W."	1952	"Clancy, D. W. 1952. Notes on parasites of fruit flies Proceedings of the Hawaiian Entomological Society 14:373-375"	"Clancy 1952"
49	"Clancy, D. W."	1950	"Clancy, D. W. 1950. Notes on parasites of tephritid flies Proceedings of the Hawaiian Entomological Society 14:24-27"	"Clancy 1950"
50	"Chevalier, L."	1928	"Chevalier, L. 1928. Biologie de la mouche de la betterave (Pegomyia hyoscyami Panz.) Bulletin de la Societe Scientifique, Seine-et-Oise 9:33-35"	"Chevalier 1928"
51	"Chevalier, L."	1927	"Chevalier, L. 1927. Biologie et maniere de vivre de quelques larves de mouches qui minent les feuilles des plantes potageres et d'agrement Bulletin de la Societe Scientifique, Seine-et-Oise 8:26-32"	"Chevalier 1927"
52	"Cherian, M. C. and  Sundaram, C. V."	1939	"Cherian, M. C. and  Sundaram, C. V. 1939. Notes on the life-history and habits of Dacus brevistylus Bezzi (Family Trypetidae), a pest of Coccinia indica Fruits Indian Journal of Agricultural Sciences 9:127-131"	"Cherian and Sundaram 1939"
53	"Clausen, C. P."	1956	"Clausen, C. P. 1956. Biological control of fruit flies Journal of Economic Entomology 49:176-178"	"Clausen 1956"
54	"Clausen, C. P.; Clancy, D. W.; Chock, Q. C."	1965	"Clausen, C. P.; Clancy, D. W.; Chock, Q. C. 1965. Biological control of the Oriental fruit fly (Dacus dorsalis Hendel) and other fruit flies in Hawaii United States Department of Agriculture Technical Bulletin 1322:1-102"	"Clausen et al. 1965"
55	"Corbett, G.H."	1937	"Corbett, G.H. 1937. Division of Entomology Annual Report for the year 1936 Bulletin of the Department of Agriculture, Straits Settlements and Federated Malay States, General Series 26:29-48"	"Corbett 1937"
56	"Cory, E. N."	1916	"Cory, E. N. 1916. Notes on Pegomyia hyoscyami, Panz. Journal of Economic Entomology 9:372-375"	"Cory 1916"
57	"Crawford, D. L."	1927	"Crawford, D. L. 1927. Investigation of Mexican fruit fly (Anastrepha ludens Loew) in Mexico Monthly Bulletin of the California Department of Agriculture 16:422-445"	"Crawford 1927"
58	"Cresson, E. T."	1872	"Cresson, E. T. 1872. Hymenoptera Texana Transactions of the American Entomological Society 4:153-292"	"Cresson 1872"
59	"Darby, H. H."	1933	"Darby, H. H. 1933. Insects and micro-climates Nature 131:839"	"Darby 1933"
60	"De Santis, L."	1966	"De Santis, L. 1966. Nueves himinopteros Chilenos parasitos de Dipteros Notas de Provincia de Buenos Aires Gobernacion, Comision de Investigacion Cientifica 3:1-8"	"De Santis 1966"
61	"De Santis, L. and  Esquivel, L."	1966	"De Santis, L. and  Esquivel, L. 1966. Tercera lista de Himenopteros parasitos y predatores de los insectos de la Republica Argentina Revista del Museo de La Plata Seccion Zoologia 9:47-215"	"De Santis and Esquivel 1966"
62	"De Santis, L."	1967	"De Santis, L. 1967. Catalogo de los himenopteros Argentinos de la serie parasitica, incluyendo Bethyloidea Provincia De Buenos Aires Gobernacion, Comisionn De Investigacion Cientifica pp.337 pp."	"De Santis 1967"
