254,"Saint Vincent",320,"Saint Vincent","","","",\N
255,"Grenada",320,"Grenada","","","",\N
256,"Barbados",320,"Barbados","","","",\N
257,"Trinidad and Tobago",320,"Trinidad and Tobago","","","",\N
258,"Virgin Islands (USA)",323,"U. S. A.","Virgin Islands (USA)","","",\N
259,"Hawaiian Islands",323,"U. S. A.","","","",\N
260,"Marquesas",323,"French Polynesia","","","",\N
261,"Western Australia",315,"Australia","Western Australia","","",\N
262,"Northern Territory",315,"Australia","Northern Territory","","",\N
263,"South Australia",315,"Australia","South Australia","","",\N
264,"Queensland",315,"Australia","Queensland","","",\N
265,"New South Wales",315,"Australia","New South Wales","","",\N
266,"Victoria",315,"Australia","Victoria","","",\N
267,"Tasmania",315,"Australia","Tasmania","","",\N
268,"Australian Capital Territory",315,"Australia","Australian Capital Territory","","",\N
381,"Alabama",315,"U. S. A.","Alabama","","",\N
382,"Alaska",315,"U. S. A.","Alaska","","",\N
383,"Arizona",315,"U. S. A.","Arizona","","",\N
384,"Arkansas",315,"U. S. A.","Arkansas","","",\N
385,"California",315,"U. S. A.","California","","",\N
386,"Colorado",315,"U. S. A.","Colorado","","",\N
387,"Connecticut",315,"U. S. A.","Connecticut","","",\N
388,"Delaware",315,"U. S. A.","Delaware","","",\N
389,"District of Columbia",317,"U. S. A.","District of Columbia","","",\N
390,"Florida",315,"U. S. A.","Florida","","",\N
391,"Georgia",315,"U. S. A.","Georgia","","",\N
392,"Hawaii",315,"U. S. A.","Hawaii","","",\N
393,"Idaho",315,"U. S. A.","Idaho","","",\N
394,"Illinois",315,"U. S. A.","Illinois","","",\N
395,"Indiana",315,"U. S. A.","Indiana","","",\N
396,"Iowa",315,"U. S. A.","Iowa","","",\N
397,"Kansas",315,"U. S. A.","Kansas","","",\N
398,"Kentucky",315,"U. S. A.","Kentucky","","",\N
399,"Louisiana",315,"U. S. A.","Louisiana","","",\N
400,"Maine",315,"U. S. A.","Maine","","",\N
401,"Maryland",315,"U. S. A.","Maryland","","",\N
402,"Massachusetts",315,"U. S. A.","Massachusetts","","",\N
403,"Michigan",315,"U. S. A.","Michigan","","",\N
404,"Minnesota",315,"U. S. A.","Minnesota","","",\N
405,"Mississippi",315,"U. S. A.","Mississippi","","",\N
406,"Missouri",315,"U. S. A.","Missouri","","",\N
407,"Montana",315,"U. S. A.","Montana","","",\N
408,"Nebraska",315,"U. S. A.","Nebraska","","",\N
409,"Nevada",315,"U. S. A.","Nevada","","",\N
410,"New Hampshire",315,"U. S. A.","New Hampshire","","",\N
